Project Title,Source,Project Description
Validation of specimen self-collection vs. collection by health care worker for COVID-19 testing,Stanford,"Maldonado, Altamirano, Govindarajan and Blomkalns are investigating three swab techniques used during COVID-19 testing: a self-collected nasal swab performed with the aid of an instruction sheet; a health care worker-collected nasal swab; and a health care worker-collected oropharyngeal swab. Should self-collected nasal swabs prove as effective as those collected by health care workers, patients may be able to safely and effectively collect specimens outside of health care settings."
Lung function in people infected with SARS-CoV-2,Stanford,"Milla and his team are evaluating whether improvements they’ve made in a lung function test can more successfully and safely identify subjects at high risk of severe COVID-19 disease, even when disease is in its early, asymptomatic stage. Standard tests involve inhaling deeply and quickly exhaling as much air as possible. The Milla lab’s improvements allow subjects to simply breathe passively for a few seconds through a mouthpiece. This not only makes the test feasible for sick subjects but also minimizes the generation of aerosols. "
Tracking COVID-19 with wearables,Stanford,Snyder and his team will track biological parameters of individuals who are ill with COVID-19 or at risk for the disease using a smart watch. Their goal is to determine whether they can tell if the smart watch user is becoming ill based on measurements such as heart rate.
Repurposing snorkel masks for personal protective equipment,Stanford,"Prakash and his lab are repurposing full-face snorkel masks as reusable personal protective equipment for healthcare workers to help combat the shortage of personal protective equipment in hospitals. To ensure protection against airborne pathogens, the group is 3D-printing N95 filter attachments that are fitted to the snorkel masks. The prototypes are currently being tested in the three clinics currently."
Novel aerosol capture tools for understanding COVID-19 infectiousness,Stanford,"Andrews’ group is developing and validating tools to capture airborne biological particles and characterize infectiousness, with the goals of understanding predictors and determinants of infectiousness and potentially monitoring environments for presence of SARS-CoV-2."
Clinical trial of remdesivir in hospitalized adults with COVID-19,Stanford,"Nadeau and Ahuja are conducting a randomized, double-blind, placebo-controlled phase 2 trial to evaluate the safety and efficacy of the Ebola drug remdesivir in hospitalized adult patients diagnosed with COVID-19. The study is sponsored by the National Institutes of Health and is a multicenter trial that will be conducted at as many as 50 sites globally."
Clinical trial of novel therapeutic for mild COVID-19 infection to prevent severe disease and reduce viral shedding,Stanford,"Singh’s team is conducting a trial of a novel therapeutic called Lambda, a broad-spectrum anti-viral compound that’s been given to more than 3,000 patients in clinical trials of hepatitis viruses, for efficacy in outpatients with mild COVID-19. In vitro and animal-model data suggest Lambda may also inhibit replication of respiratory viruses, such as the COVID-19 virus. The team plans to perform a phase 2 randomized controlled trial of Lambda among outpatients with mild COVID-19 to determine whether the drug reduces the duration of symptoms, viral shedding and the risk of hospitalization."
Develop proofs-of-concept for two novel COVID-19 drugs to begin clinical trials,Stanford,"Glenn is preparing two potential COVID-19 drugs for clinical trials: a lipid kinase inhibitor that could be used to combat COVID-19 and other viruses, and a locked nucleic acid, similar to one that he has successfully developed to target every known strain of the flu and that could potentially be used during any flu pandemic. Both of these drugs could treat multiple viruses and strains, have high barriers to resistance, and, in some cases, could be used in nonviral applications."
Using artificial intelligence to predict drugs that may inhibit COVID-19,Stanford,"Altman and his group have used artificial intelligence to computationally predict six drugs that could inhibit TMPRSS2, a protein that plays a key role in SARS-CoV-2 infections. Altman and his collaborators outside of Stanford Medicine plan to conduct experimental follow-up studies to explore the efficacy of two of the drugs in blocking SARS-CoV-2 from causing infection. While promising, the potential drugs are still part of a preliminary computational analysis and would be dangerous to use clinically at this time."
Genomic surveillance to identify silent transmission clusters of COVID-19,Stanford,Andrews’ team is developing and testing novel tools that utilize microbial whole-genome sequences to identify chains of transmission between individuals. Andrews proposes to work with local hospitals and the state and county health departments to perform whole-genome sequencing on all COVID-19-positive samples and apply these methods in real-time to characterize transmission chains and help guide public health investigations.
