Project Title,Type of Research,Project Description,Key Words
Amazon Web Services (AWS) Diagnostic Development Initiative (DDI),Technology,"AWS has committed $20 million over the next year to accelerate research, innovation, and development to speed our collective understanding and detection of COVID-19 and other innovate diagnostic solutions to mitigate future infectious disease outbreaks. Funding will be provided through a combination of AWS in-kind credits and technical support to assist our customers' research teams in harnessing the full potential of the cloud to tackle this challenge.",Technology and Computer Science
"Advanced Photon Source Expedited, Rapid Access Call for COVID-19 Research",Resources from ANL,"The Advance Photon Source continues to operate, providing expedited, remote access but only for research related to COVID-19 at this time. The Structural Biology Portal lists available APS beamlines for macromolecular crystallography and BioSAXS. Step-by-step instructions on how to apply for expedited beam time are listed on the New User Checklist. All users must be registered and their home institution must have an active User Agreement. Faculty should contact ospcontracts@vt.edu for assistance if they wish to request access. No need to enter the request in Summit.",Technology and Computer Science
Biomedical Advanced Research and Development Authority (BARDA) Broad Agency Announcement (BAA),Biomedical,"The due date was extended to 10/31/2020.
COVID-19 response related Areas of Interest includes: AOI 7.7.1 Diagnostic assay for human coronavirus using existing FDA-cleared platforms AOI 7.7.2 Point-of-care diagnostic assay for detection of SARS-CoV-2 virus AOI 7.7.3 Diagnostic assay for detection of COVID-19 disease (SARS-CoV-2 infection) AOI 8.3 COVID-19 Vaccine AOI 9.2 COVID-19 Therapeutics AOI 9.3 Immunomodulators or therapeutics targeting lung repair AOI 9.5 Pre-exposure and post-exposure prophylaxis AOI 10 Respiratory protective devices AOI 11 Ventilators AOI 17 Advanced Manufacturing Technologies",Technology and Computer Science
Broad Agency Annoucement (BAA) Biological Technologies,Biotechnology,"Proposal Abstract Due Date and Time: Abstracts may be submitted on a rolling basis until 4:00 PM ET, April 22, 2021. Full Proposal Due Date and Time: Proposals may be submitted on a rolling basis until 4:00 PM ET, April 22, 2021.
BTO is interested in submissions related to the following areas: - Discovering and leveraging novel findings from biotechnology, biochemistry, molecular biology, neuroscience, psychology, cognitive science, and related disciplines to advance treatment and resilience in neurological health, transformative neural processing, and optimize human performance. - Understanding and improving interfaces between the biological and physical world to enable seamless hybrid systems and revolutionary new human-machine interfaces. - Designing novel materials, sensors, or processes that mimic or are inspired by biological systems. - Leveraging and translating a biological system’s underlying design rules, functional processes, and/or means of interactivity to provide insight into or control over complex biological systems from biofilms to organs. - Developing new tools and capabilities for forward engineering of biological systems, such as cells, tissues, organs, organisms, and complex communities, to both develop new products and functional systems, as well as to gain new insights into underlying mechanisms. There are many more areas of interest listed in the guidelines.",Technology and Computer Science
Dear Colleague Letter on DOE Resourses for COVID-19 Research,Resources from DOE,"Department of Energy (DOE) has unique capabilities that the scientific community may leverage for the COVID-19 response and recovery. The Department encourages you to consider scientific questions that underpin COVID-19 response and that the research community may answer using DOE user facilities, computational resources, and enabling infrastructure. Please send research questions that the scientific community may address with DOE resources by email to SC.DCL@ science.doe.gov",Technology and Computer Science
State Environmental Justice Cooperative Agreement Program (SEJCA)/ COVID-19 Projects,Public Health,"EPA is working to improve the environment and public health conditions of low-income and minority communities through our daily efforts to ensure all Americans have clean air, safe water, and access to information to make decisions to protect personal and public health. As part of these efforts, EPA has re-opened the State Environmental Justice Cooperative Agreement Program (SEJCA) and expanded its availability to include states, local governments, tribes and territories. EPA is giving a special consideration to those applications aimed at addressing the impacts of the COVID-19 pandemic on urban and rural low income and minority communities. EPA anticipates making five awards in amounts of up to $200,000 per award for a two-year project period. EPA encourages applicants to develop innovative plans and processes to conduct effective outreach to underserved communities in the midst of social-distancing and local stay-at-home orders, especially in places where internet access may not be readily available to all residents.",Other
Fast Funding for COVID-19 Science,Various,"The review starts on 4/12/2020, but FastGrants will continue to review applications after that date.
If you are a scientist at an academic institution currently working on a COVID-19 related project and in need of funding, we invite you to apply for a Fast Grant. Fast Grants are $10k to $500k and decisions are made in under 48 hours. If we approve the grant, you'll receive payment as quickly as your university can receive it.",Technology and Computer Science
COVID-19 Open Research Dataset Challenge (CORD-19),Artificial Intelligence/Data Mining,"The White House and a coalition of leading research groups have prepared the COVID-19 Open Research Dataset (CORD-19). CORD-19 is a resource of over 45,000 scholarly articles, including over 33,000 with full text, about COVID-19, SARS-CoV-2, and related coronaviruses. Develop text and data mining tools that can help the medical community develop answers to high priority scientific questions. The CORD-19 dataset represents the most extensive machine-readable coronavirus literature collection available for data mining to date.",Technology and Computer Science
"Notice of Intent: New Funding Opportunity Announcement to Support Novel, High-Impact Studies Evaluating Health System and Healthcare Professional Responsiveness to COVID-19",Biomedical,"The Funding Opportunity Annoucement will be released in early May 2020 with submissions due dates in June 2020.
Agency for Healthcare Research and Quality is particularly interested in understanding how digital health innovations contributed to health system and healthcare professional innovation and challenges and solutions to meeting the needs of vulnerable populations including older adults, people living with multiple chronic conditions, rural communities, and uninsured and underinsured populations. AHRQ will encourage multimethod, rapid-cycle research with the ability to produce and disseminate findings as early as 6 months. AHRQ expects to invest up to $5M in FY2020 funds to support this initiative and potentially more pending supplemental funding.",Technology and Computer Science
Notice of Special Interest (NOSI): National Cancer Institute Announcement Regarding Availability of Urgent Competitive Revision and Administrative Supplements on Coronavirus Disease 2019 (COVID-19),Cancer,"Applications will be accepted on a rolling basis through June 25, 2020.
To better understand the impact of SARS-CoV-2 infection and its impact on cancer patients' disease progression, response to therapy, care delivery, or survivorship, the National Cancer Institute encourages the submission of applications to either PA-18-935, Urgent Competitive Revision to Existing NIH Grants and Cooperative Agreements (Urgent Supplement - Clinical Trial Optional) or to PA-18-591, Administrative Supplements to Existing Grants and Cooperative Agreements (Parent Admin Supp - Clinical Trial Optional). Of particular interest are studies that take advantage of unique cancer model systems or analytical tools to study the consequences of SARS-CoV-2 infection and COVID-19 disease progression. Supported research is expected to inform future efforts to diagnose, prevent, mitigate, or treat this viral infection in persons with cancer (or pre-cancer), undergoing treatment for cancer, or are in remission.",Technology and Computer Science
