Project Title,Type of Research,Project Description,Relevant Links,Key Words
Agency for International Development (USAID),,Partners may submit unsolicited proposals to COVID19_Concepts@usaid.gov.,https://www.usaid.gov/coronavirus/funding-requests-unsolicited-proposals,Technology and Computer Science
Argonne National Laboratory (ANL),,"The Advance Photon Source continues to operate, providing expedited, remote access but only for research related to COVID-19 at this time. The Structural Biology Portal lists available APS beamlines for macromolecular crystallography and BioSAXS. Step-by-step instructions on how to apply for expedited beam time are listed on the New User Checklist. All users must be registered and their home institution must have an active User Agreement. Faculty should contact ospcontracts@vt.edu for assistance if they wish to request access. No need to enter the request in Summit.",https://www.aps.anl.gov/Users-Information/covid19/proposal,Technology and Computer Science
Biomedical Advanced Research and Development Authority (BARDA),,"The due date was extended to 10/31/2020.
COVID-19 response related Areas of Interest includes: AOI 7.7.1 Diagnostic assay for human coronavirus using existing FDA-cleared platforms AOI 7.7.2 Point-of-care diagnostic assay for detection of SARS-CoV-2 virus AOI 7.7.3 Diagnostic assay for detection of COVID-19 disease (SARS-CoV-2 infection) AOI 8.3 COVID-19 Vaccine AOI 9.2 COVID-19 Therapeutics AOI 9.3 Immunomodulators or therapeutics targeting lung repair AOI 9.5 Pre-exposure and post-exposure prophylaxis AOI 10 Respiratory protective devices AOI 11 Ventilators AOI 17 Advanced Manufacturing Technologies",https://beta.sam.gov/opp/7c72ff2e5c514b2faa15765e78294128/view#general,Technology and Computer Science
Department of Defence (DOD) Defense Advanced Research Projects Agency (DARPA) Biological Technologies Office (BTO),,"Proposal Abstract Due Date and Time: Abstracts may be submitted on a rolling basis until 4:00 PM ET, April 22, 2021. Full Proposal Due Date and Time: Proposals may be submitted on a rolling basis until 4:00 PM ET, April 22, 2021.
BTO is interested in submissions related to the following areas: - Discovering and leveraging novel findings from biotechnology, biochemistry, molecular biology, neuroscience, psychology, cognitive science, and related disciplines to advance treatment and resilience in neurological health, transformative neural processing, and optimize human performance. - Understanding and improving interfaces between the biological and physical world to enable seamless hybrid systems and revolutionary new human-machine interfaces. - Designing novel materials, sensors, or processes that mimic or are inspired by biological systems. - Leveraging and translating a biological system’s underlying design rules, functional processes, and/or means of interactivity to provide insight into or control over complex biological systems from biofilms to organs. - Developing new tools and capabilities for forward engineering of biological systems, such as cells, tissues, organs, organisms, and complex communities, to both develop new products and functional systems, as well as to gain new insights into underlying mechanisms. There are many more areas of interest listed in the guidelines.",https://beta.sam.gov/opp/4efd37762ed0475d871af927279f010d/view,Technology and Computer Science
Department of Housing and Urban Development (HUD),,"As part of the COVID-19 Supplemental Appropriation for the CARES Act of 2020, Congress appropriated 1 million dollars for FHIP. The purpose of this Notice is to seek applications from eligible entities that will create and disseminate fair housing education and outreach materials in COVID-19 affected areas. During this national emergency, HUD wants to remind housing providers and the public of important federal fair housing laws that protect persons from discrimination, including harassment and intimidation in housing and related services on the basis of race, color, religion, national origin, sex, familial status and disability. HUD is already aware that persons with disabilities, including those who are older and have underlying medical conditions, are vulnerable and at high risk for a severe, life-threatening response to COVID-19. HUD recognizes that these persons may face unique fair housing and civil rights issues in their fair housing related services. Housing providers are required to make reasonable accommodations that may be necessary to deliver housing and services to persons with disabilities affecting major life activities. In addition, HUD wants to prevent discrimination and harassment against people of who, because of racial profiling, are perceived to be associated with this disease. Historically, the number of fair housing complaints increases in the aftermath of a disaster or emergency. Essential to control the number of Fair Housing Act violations during this critical time, is the provision of widespread, highly visible outreach and education activities regarding the Fair Housing Act requirements.",https://www.grants.gov/web/grants/view-opportunity.html?oppId=327577,Other
Department of State; U.S. Mission to the Dominican Republic,,"The goal of this higher education research partnership program is to connect higher education institutions from the United States and the Dominican Republic to conduct joint research and capacity building focused on issues exacerbated by the COVID-19 pandemic, including gender-based violence, public health, and access to education for vulnerable populations. This program will increase research, dialogue and training for students, faculty and researchers at Dominican and U.S. higher education institutions. The project will provide training related to planning and implementing a research project and must include U.S. content as part of the proposal. Proposals should also include webinars that are open to the public and showcase the U.S. and Dominican higher education research partnership. Proposals must highlight how they plan on becoming sustainable following grant completion and evolve into a sustainable and long lasting partnership. $25,000 available.",https://www.grants.gov/web/grants/view-opportunity.html?oppId=327465,Other
Extreme Science and Engineering Discovery Environment (XSEDE),,"No specific due date for submission. XSEDE will be reviewing the applications on a continous basis.
To request access to resources of the COVID-19 HPC Consortium, you must prepare a description, no longer than three pages, of your proposed work. To ensure your request is directed to the appropriate resource(s), your description should include the following sections.",https://www.xsede.org/covid19-hpc-consortium,Technology and Computer Science
Food and Drug Administration (FDA),,"Applications will be reviewed on a rolling basis through 9/24/2020.
A research opportunity is currently available with the Division of Plasma Protein Therapeutics (DPPT), in the Office of Tissues and Advanced Therapies (OTAT), at the Center for Biologics Evaluation and Research (CBER), Food and Drug Administration (FDA) located in Silver Spring, Maryland. The recent emergence of SARS-CoV-2, the causative agent of COVID-19, has sparked a global search for effective therapies and a vaccine. DPPT has a research opportunity for a recent graduate in computational biology /bioinformatics / computer science to be involved with a project related to COVID-19. The project focuses on using computational models to predict efficacy of novel drugs and biologics, including neutralizing antibodies, against SARS-CoV-2. The project also has a focus on vaccine design through sequence deoptimization. This will involve the use of existing bioinformatics pipelines and development of novel computational tools.",https://www.zintellect.com/Opportunity/Details/FDA-CBER-2020-0035,Technology and Computer Science
Intelligence Advanced Research Projects Activity (IARPA),,"IARPA invests  in  high-risk/high-payoff  research  programs  that  have  the potential  to  provide  our  nation with  an overwhelming intelligence advantage.  The  current  COVID-19  pandemic  focuses  attention  on the  need  for technologies to assist with: 1) detection and sensing; 2) supply chain management and integrity; 3) geo-spatio-temporal monitoring and mapping, with privacy protection; 4) information reliability and collaboration tools; and 5) modeling, simulation, and predictive analytics.",https://beta.sam.gov/opp/7aa04cbfcd8d4c6395e8f858b18d2eb6/view,Technology and Computer Science
Mozilla,,"Applications will be reviewed on a rolling basis.
Mozilla will provide awards of up to $50,000 each to open source technology projects which are responding to the COVID-19 pandemic in some way. As part of the COVID-19 Solutions Fund, we will accept applications that are hardware (e.g., an open source ventilator), software (e.g., a platform that connects hospitals with people who have 3D printers who can print parts for that open source ventilator), as well as software that solves for secondary effects of COVID-19 (e.g., a browser plugin that combats COVID related misinformation).",https://blog.mozilla.org/blog/2020/03/31/moss-launches-covid-19-solutions-fund/,Technology and Computer Science
